,aq1_1,aq1_2,aq2_1,aq2_2,aq3_1,aq3_2,aq4_1,aq4_2,aq5_1,aq5_2,aq6_1,aq6_2,aq7_1,aq7_2,aq8_1,aq8_2,aq9_1,aq9_2,aq10_1,aq10_2,aq11_1,aq11_2,aq12_1,aq12_2,aq13_1,aq13_2,aq14_1,aq14_2,aq15_1,aq15_2,aq16_1,aq16_2,aq17_1,aq17_2,aq18_1,aq18_2,aq19_1,aq19_2,aq20_1,aq20_2,aq21_1,aq21_2,aq22_1,aq22_2,aq23_1,aq23_2,aq24_1,aq24_2,aq25_1,aq25_2,aq26_1,aq26_2,aq27_1,aq27_2,aq28_1,aq28_2,aq29_1,aq29_2,aq30_1,aq30_2,aq31_1,aq31_2,aq32_1,aq32_2,aq33_1,aq33_2,aq34_1,aq34_2,aq35_1,aq35_2,aq36_1,aq36_2,aq37_1,aq37_2,aq38_1,aq38_2,aq39_1,aq39_2,aq40_1,aq40_2,aq41_1,aq41_2,bq1,bq2,bq3,bq4,bq4_1a,bq4_1b,bq4_1c,bq5,bq5_1,bq6,bq7,bq8_1,bq8_2,bq8_3,bq9,bq10,bq11,bq12_1,bq12_2,bq12_3,bq12_4,bq12_5,bq13,bq14,bq15_1,bq15_2,bq15_3,bq16,bq17,bq18_1,bq18_2,bq18_3,bq18_4,bq18_5,bq18_6,bq18_7,bq19,bq20,bq21,bq22,bq23,bq24_1,bq24_2,bq24_3,bq24_4,bq24_5,bq24_6,bq24_7,bq24_8,bq25,bq26,bq27,bq28,bq29,bq32,bq35,bq36,bq37,bq38,bq38_1,bq39_1,bq39_2,bq40,bq41,knowcode
10,3,4,4,4,4,4,4,4,3,5,4,4,4,5,4,5,4,5,4,4,4,4,4,4,4,5,4,4,4,4,2,4,3,4,2,3,4,4,3,4,3,3,3,4,3,4,3,4,3,4,4,5,3,3,4,4,4,4,2,3,3,4,2,3,4,4,4,4,4,4,4,4,3,4,3,3,3,3,4,4,3,4,15,2,5,2,없음,없음,없음,1,1,2,4,3,3,3,4,3,4,3,2,3,4,3,3,3,4,3,2,4,3,3,4,1,3,2,2,3,4,3,4,6,20.0,2,2,2,2,2,2,2,2,4,4,3,3,3,없음,3,1,45,4,행정,1,1,1,5000,25201
11,5,6,4,6,4,6,1,0,1,0,4,5,4,5,4,5,4,5,5,6,3,4,1,0,4,5,4,5,4,5,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,4,6,4,5,4,5,4,5,5,7,2,2,4,5,4,5,4,5,4,5,4,5,1,0,4,5,1,0,4,5,4,5,1,0,1,0,15,2,6,2,없음,없음,없음,1,3,3,5,4,3,3,3,4,2,4,4,4,4,4,2,3,2,2,3,3,4,4,3,3,4,2,2,3,2,3,3,2,10.0,2,2,2,2,1,1,2,2,5,5,3,3,4,없음,3,2,53,6,없음,1,3,2,14000,11101
12,4,5,4,4,4,5,2,2,2,2,2,2,2,2,3,4,5,7,3,4,4,5,4,5,2,2,4,6,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,4,5,4,4,3,3,4,5,3,4,2,2,2,2,4,4,2,3,2,2,4,4,1,0,1,0,1,0,1,0,3,4,1,0,1,0,18,1,2,2,없음,없음,없음,2,0,4,4,4,3,2,4,4,2,2,3,3,4,3,3,3,2,3,4,4,3,3,3,2,2,4,2,2,2,2,3,1,5.0,2,2,2,2,2,2,2,2,4,4,4,4,4,없음,3,2,30,4,없음,1,3,2,2100,411104
13,2,1,2,3,2,3,2,2,1,0,1,0,1,0,1,0,2,2,1,0,1,0,2,2,1,0,2,1,1,0,3,3,5,6,4,6,1,0,4,5,1,0,2,2,1,0,1,0,1,0,2,3,2,2,2,3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,4,8,4,1,1,운전면허,없음,없음,2,0,7,1,2,2,2,4,4,2,3,3,4,4,3,2,2,4,4,4,3,4,3,2,1,3,2,4,4,2,1,3,1,0.0,2,2,2,2,2,2,2,2,4,4,4,3,2,없음,4,1,61,1,없음,2,6,0,4500,623001
14,5,7,3,5,3,5,1,0,3,5,3,5,4,6,4,6,5,7,2,3,4,6,4,5,2,3,2,4,2,3,1,0,1,0,1,0,5,7,1,0,1,0,1,0,1,0,2,3,4,6,2,3,1,0,3,5,2,3,1,0,1,0,2,3,1,0,2,3,1,0,1,0,2,3,1,0,2,3,1,0,2,3,18,1,1,2,없음,없음,없음,2,0,2,4,3,2,2,4,3,4,2,2,3,3,3,3,4,3,3,2,4,2,3,3,2,3,3,3,3,3,3,2,6,60.0,2,2,2,2,2,2,2,2,4,3,3,1,1,없음,1,2,26,3,디자인,1,1,1,1800,415501
15,3,4,3,3,4,4,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,4,4,4,3,5,3,4,3,4,2,3,3,3,3,4,3,3,3,5,3,4,3,6,3,4,3,3,3,3,3,3,3,3,3,4,5,5,4,5,3,5,3,4,3,3,3,4,4,4,4,4,3,4,4,5,3,4,4,4,3,3,15,2,2,1,정비,항공,안전,1,2,2,2,3,3,3,3,4,4,3,3,3,3,4,3,3,3,3,1,4,2,3,3,3,3,3,3,2,2,3,2,2,40.0,1,1,1,2,1,1,2,1,4,4,4,3,4,없음,3,1,34,5,없음,1,1,1,4100,812101
16,3,4,3,4,3,4,3,3,3,4,3,2,3,4,3,3,3,3,3,3,3,3,3,2,3,2,3,2,3,2,3,2,2,3,1,0,3,3,2,3,1,0,1,0,1,0,1,0,1,0,3,6,3,5,3,6,3,3,3,3,3,3,3,1,3,2,3,2,3,3,3,2,3,2,3,3,3,3,3,2,3,1,15,2,5,2,없음,없음,없음,1,1,5,5,3,2,2,4,4,4,3,3,5,5,4,3,3,2,3,3,4,3,4,4,4,4,3,3,3,3,2,3,1,10.0,2,1,1,2,2,2,2,2,4,3,4,4,3,없음,3,2,40,4,없음,1,1,1,4000,25201
17,2,3,3,2,2,3,2,1,2,2,3,3,3,5,3,3,3,5,3,4,2,2,3,4,2,1,2,2,3,5,1,0,1,0,1,0,2,4,1,0,1,0,1,0,1,0,2,3,3,4,2,3,1,0,2,2,1,0,2,1,2,2,1,0,2,3,2,2,2,2,2,2,2,3,2,2,3,4,1,0,1,0,18,1,6,2,없음,없음,없음,1,1,7,5,3,3,2,4,4,3,4,4,2,4,4,5,4,4,2,2,2,2,3,3,1,2,4,2,2,4,3,3,4,20.0,2,1,2,2,2,2,2,2,4,4,4,4,2,없음,4,2,28,4,심리,1,1,1,5500,415501
18,4,5,4,5,4,5,3,4,4,6,3,4,4,5,3,4,3,3,4,5,3,5,4,5,3,4,3,4,3,4,3,4,4,5,4,5,3,4,3,4,3,5,3,5,4,5,4,5,3,4,4,5,3,4,3,4,4,6,4,5,4,5,4,5,3,4,4,6,4,5,4,5,4,5,3,4,3,4,3,4,3,4,3,1,2,1,의학,없음,없음,2,0,5,5,4,4,4,4,5,4,5,4,5,4,5,4,5,4,4,4,4,4,4,4,3,4,4,3,4,3,2,2,2,60.0,1,1,1,1,2,2,1,1,4,4,4,4,4,학생,2,1,34,3,없음,1,1,1,3500,306301
19,3,5,3,5,4,5,3,5,3,4,3,5,3,4,3,3,4,5,3,5,3,3,3,5,3,3,2,3,2,4,1,0,1,0,1,0,4,5,1,0,1,0,2,3,2,2,4,4,3,5,3,3,3,3,4,5,3,4,4,5,3,4,3,4,2,4,3,4,1,0,3,4,3,3,2,3,3,3,2,3,2,3,10,1,5,2,없음,없음,없음,2,0,3,4,3,3,3,4,3,4,3,4,3,3,4,4,4,2,3,3,4,4,2,3,3,3,3,2,3,3,2,3,3,15.0,1,2,2,2,2,2,1,2,2,2,3,3,3,없음,3,1,29,4,없음,1,1,1,2500,415503
20,4,5,4,5,4,4,4,5,4,5,1,0,1,0,1,0,1,0,3,3,3,3,3,3,1,0,1,0,1,0,4,4,3,3,3,3,1,0,2,2,1,0,2,2,1,0,1,0,1,0,1,0,3,3,4,4,1,0,4,5,1,0,4,4,1,0,1,0,1,0,1,0,1,0,1,0,4,4,1,0,3,4,1,0,1,2,없음,없음,없음,2,0,6,2,3,4,3,4,3,3,4,4,3,3,3,3,3,2,3,3,3,3,3,3,4,3,3,2,2,3,2,3,3,10.0,1,2,2,2,2,2,2,2,3,3,3,2,3,농업,3,1,50,2,고졸,2,6,0,4800,902101
21,3,3,2,2,3,4,5,6,3,3,1,0,2,2,1,0,1,0,2,2,1,0,1,0,1,0,2,2,3,3,3,3,3,4,5,5,1,0,5,6,3,4,3,5,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,10,1,5,2,없음,없음,없음,1,3,7,5,4,3,3,4,3,3,4,3,4,4,4,3,3,4,3,3,4,4,4,3,3,2,3,3,3,4,3,2,3,15.0,2,2,1,2,2,2,2,2,3,4,4,4,2,없음,2,1,40,3,없음,1,1,1,5700,136002
22,5,7,5,7,5,7,5,7,5,7,5,7,5,7,5,7,5,7,5,7,5,7,5,7,5,7,5,7,5,7,4,5,5,7,4,5,5,6,4,4,2,3,3,2,3,2,5,5,5,5,5,6,5,6,5,7,5,6,5,7,5,6,4,5,5,5,5,4,4,4,4,5,5,5,4,5,4,5,4,5,3,3,10,2,4,2,없음,없음,없음,1,4,2,5,4,4,2,4,5,2,2,1,4,4,4,1,1,4,2,3,4,2,5,5,4,5,4,4,4,1,3,2,4,0.0,2,2,1,1,2,2,2,2,4,4,4,4,3,없음,4,2,29,4,없음,1,3,2,2400,411104
23,3,4,3,3,3,3,2,2,2,2,4,5,3,4,3,3,3,3,3,5,3,3,3,3,3,3,2,3,3,3,4,4,5,5,3,4,2,1,2,2,2,3,2,2,2,2,2,2,2,3,2,1,1,0,5,5,4,5,4,5,4,6,4,4,4,4,2,3,2,2,2,2,2,2,2,2,1,0,2,2,1,0,19,1,1,1,미용,없음,없음,2,0,3,2,4,3,3,4,5,4,4,3,4,4,5,4,4,2,3,3,3,3,4,3,4,4,4,3,4,4,2,3,1,10.0,2,2,1,1,2,2,2,2,4,4,3,4,4,없음,3,2,48,2,없음,2,5,0,6000,511201
24,3,4,4,4,4,6,4,6,3,4,2,2,4,5,3,4,2,3,4,5,2,1,4,5,4,6,5,6,5,7,3,4,5,6,5,6,3,4,5,7,4,6,4,5,4,5,5,6,4,5,2,2,1,0,3,4,3,4,2,2,4,5,2,3,3,4,2,4,1,0,4,4,1,0,3,3,2,2,1,0,3,4,8,4,1,1,도선,해기사,없음,2,0,6,5,5,4,4,5,5,4,4,3,3,3,4,4,4,3,4,3,4,4,5,3,4,3,1,3,4,3,3,3,2,30.0,2,1,2,2,2,2,1,1,3,3,4,4,3,선장,3,1,63,4,없음,2,6,0,15000,621202
25,5,5,5,6,5,5,2,2,2,2,4,5,4,5,4,5,5,6,5,6,4,5,5,6,5,6,2,4,4,4,2,2,1,0,1,0,3,4,1,0,1,0,1,0,1,0,3,4,4,5,4,4,4,5,3,3,2,3,2,3,4,5,2,3,4,5,4,5,3,4,5,6,3,3,1,0,3,4,2,2,1,0,11,1,3,2,없음,없음,없음,2,0,4,5,3,4,3,2,4,2,2,3,2,3,3,3,2,3,3,3,3,2,3,2,2,4,4,4,4,1,3,2,2,50.0,2,2,2,1,1,1,2,2,4,4,4,4,3,없음,3,2,37,4,경영,1,1,1,7000,31101
26,3,4,4,5,2,3,1,0,1,0,3,4,1,0,1,0,1,0,1,0,1,0,2,3,3,4,2,3,3,4,4,6,5,7,4,6,1,0,1,0,1,0,2,3,1,0,1,0,2,2,1,0,1,0,5,6,4,6,5,6,2,2,5,7,2,2,1,0,2,2,1,0,2,2,2,2,1,0,1,0,1,0,7,4,1,2,없음,없음,없음,1,3,3,2,4,3,3,4,3,3,3,3,3,3,3,2,3,4,4,4,3,3,4,5,4,3,4,4,4,3,2,2,2,85.0,2,2,1,1,1,2,1,1,4,4,4,3,3,판매직,2,2,51,2,인문,2,6,0,2200,872101
27,1,0,1,0,2,3,2,3,2,2,1,0,2,3,2,1,1,0,3,4,1,0,2,3,2,3,1,0,2,2,4,4,2,3,2,3,2,2,2,3,1,0,2,3,1,0,2,3,1,0,2,3,1,0,3,3,2,3,1,0,1,0,1,0,2,3,3,4,1,0,2,1,1,0,1,0,1,0,1,0,1,0,3,1,2,2,없음,없음,없음,2,0,2,1,1,1,1,2,4,2,3,2,3,3,3,1,1,2,2,2,3,3,3,4,3,3,4,2,3,2,2,2,3,10.0,2,2,1,2,2,1,2,2,3,4,3,2,1,없음,2,2,44,2,디자인,1,1,1,2800,821201
28,4,4,3,4,4,4,1,0,3,4,4,4,3,4,3,4,3,4,4,4,5,5,4,5,3,4,3,4,3,4,1,0,1,0,1,0,4,4,1,0,1,0,1,0,1,0,3,4,2,3,3,4,3,4,3,4,1,0,1,0,4,4,1,0,3,4,3,4,1,0,1,0,3,4,3,4,3,4,1,0,1,0,14,1,2,2,없음,없음,없음,2,0,2,4,3,3,3,4,4,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,2,3,3,3,4,3,2,6,10.0,1,1,1,1,1,2,2,2,2,4,3,4,2,없음,3,2,26,3,디자인,1,1,1,2300,415503
29,3,3,4,4,4,5,5,5,1,0,3,3,1,0,1,0,3,3,3,2,1,0,4,2,1,0,1,0,1,0,5,6,5,6,5,6,1,0,5,4,3,4,5,6,4,6,1,0,3,1,1,0,1,0,3,4,1,0,1,0,2,2,5,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,4,2,1,19,4,1,2,없음,없음,없음,2,0,3,1,3,2,2,4,3,4,2,3,4,4,3,2,2,2,4,3,3,3,4,4,4,2,4,2,3,2,2,2,3,30.0,2,2,1,2,2,2,2,2,2,2,4,2,3,농업,4,1,48,2,없음,2,6,0,3500,811901
30,3,4,3,5,4,5,3,3,4,5,3,4,3,5,4,5,3,4,2,3,2,2,2,4,3,3,3,4,3,5,3,4,2,3,3,4,3,4,2,4,4,5,3,4,2,2,3,5,3,4,2,2,2,3,3,4,2,3,3,4,3,4,3,4,4,5,3,5,3,2,3,5,2,3,2,3,3,5,2,3,3,4,6,1,2,1,건축,없음,없음,2,0,5,5,4,4,4,4,4,2,3,3,4,4,4,3,3,2,4,3,4,4,4,3,3,4,2,3,3,3,2,3,6,20.0,2,2,2,2,2,2,2,2,4,3,4,2,1,없음,2,1,36,4,건축,1,1,1,3900,140204
31,2,3,2,3,2,3,1,0,1,0,1,0,1,0,1,0,1,0,3,4,3,4,3,4,2,2,2,3,3,4,3,4,2,3,1,0,1,0,1,0,1,0,1,0,1,0,2,2,1,0,2,4,1,0,3,4,3,4,3,4,1,0,1,0,1,0,1,0,3,4,1,0,3,4,2,3,2,2,1,0,1,0,19,1,2,1,교육,없음,없음,1,1,1,4,4,3,2,3,4,4,3,4,4,4,3,4,4,3,3,3,3,3,4,4,2,3,3,2,3,5,3,4,3,0.0,2,2,2,2,2,2,2,2,4,3,4,3,3,없음,2,2,47,2,인문,1,1,1,2200,232101
32,2,3,2,3,2,3,2,4,2,3,2,3,3,4,2,3,2,3,3,4,2,4,3,5,3,5,2,4,3,5,5,6,4,5,4,5,2,3,2,3,2,4,4,5,3,4,2,4,1,0,2,4,2,4,3,4,2,3,1,0,2,3,2,3,2,3,2,4,1,0,2,3,2,4,1,0,2,4,1,0,2,3,3,1,3,2,없음,없음,없음,2,0,4,2,2,1,1,2,3,3,2,2,3,4,3,2,2,3,4,3,2,3,2,2,1,2,4,3,2,3,2,3,1,20.0,2,2,1,2,2,2,2,2,3,4,3,4,2,택배기사,2,1,39,2,상업,1,1,1,2900,822301
33,4,5,3,7,3,4,3,3,3,4,3,3,1,0,1,0,1,0,3,4,1,0,1,0,1,0,1,0,1,0,3,5,3,3,4,4,3,5,3,3,4,3,1,0,1,0,1,0,1,0,3,2,3,4,3,2,3,4,3,6,3,5,3,2,3,2,3,4,3,3,1,0,3,3,1,0,1,0,1,0,3,4,1,0,1,2,없음,없음,없음,2,0,7,4,3,1,1,2,2,3,2,3,4,3,4,3,2,4,2,2,2,4,4,4,2,4,4,4,4,3,4,3,1,20.0,1,1,2,2,1,1,1,1,4,5,4,4,3,주부,4,2,56,1,없음,2,6,0,2100,901201
34,3,5,3,4,3,5,4,5,4,5,3,5,2,3,4,5,4,5,2,4,2,4,4,5,4,5,3,4,2,3,4,5,4,5,3,4,3,5,3,4,2,3,2,4,4,5,4,5,3,4,2,3,1,0,2,3,2,3,2,3,2,3,1,0,2,3,2,4,4,5,4,5,4,5,3,4,2,4,2,4,2,3,19,3,2,2,없음,없음,없음,1,6,5,5,4,3,2,4,4,2,2,4,4,4,4,4,3,2,3,3,4,4,3,2,2,4,2,2,3,3,2,3,4,40.0,2,2,2,2,2,2,2,2,4,3,4,3,3,없음,1,1,59,5,없음,1,1,1,6800,23403
35,4,6,4,5,4,5,3,5,3,5,3,4,3,4,2,2,3,4,3,4,4,5,4,5,3,4,2,3,2,4,2,3,2,4,2,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,4,3,4,2,4,2,3,1,0,2,3,4,5,2,4,2,4,2,4,3,5,3,4,3,4,2,4,2,4,2,4,9,1,1,1,조리,없음,없음,2,0,1,2,3,1,2,3,4,2,3,4,3,3,3,3,3,3,2,3,4,4,4,1,3,4,3,2,3,4,2,3,1,5.0,2,2,2,2,2,2,2,2,4,3,4,2,2,주방보조,2,2,50,2,고졸,2,5,0,4300,531201
36,5,6,4,6,5,6,4,5,4,6,4,6,3,5,3,5,4,6,4,5,2,4,2,4,3,5,2,4,4,6,2,3,1,0,1,0,2,3,2,4,1,0,3,5,2,4,3,5,4,5,3,5,3,5,3,5,2,4,2,4,2,4,1,0,2,3,3,4,4,5,2,4,3,5,3,4,3,5,1,0,1,0,15,2,3,2,없음,없음,없음,2,0,5,6,4,4,4,4,5,4,3,4,4,4,4,4,4,2,4,4,3,4,2,3,2,4,3,3,2,3,2,3,1,5.0,2,2,1,1,2,2,2,2,4,4,4,4,4,없음,4,1,43,6,없음,1,1,1,5100,23403
37,2,2,3,4,3,3,2,2,2,3,2,3,1,0,1,0,1,0,3,4,3,3,3,3,3,4,2,2,1,0,4,5,3,3,1,0,1,0,3,3,1,0,1,0,1,0,1,0,1,0,3,4,2,2,3,4,2,2,1,0,2,2,3,4,3,4,3,4,1,0,1,0,1,0,2,3,1,0,1,0,1,0,13,1,2,2,없음,없음,없음,2,0,7,2,2,2,2,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,4,4,2,2,3,2,2,4,2,3,3,5.0,2,2,1,1,2,2,2,2,4,5,3,3,3,없음,4,1,33,4,없음,1,1,1,3200,901501
38,2,3,3,4,2,3,4,4,2,3,2,3,2,4,1,0,1,0,2,3,2,3,2,3,3,4,2,3,2,3,4,5,3,4,3,4,1,0,3,4,2,3,3,3,1,0,2,4,2,2,3,4,2,3,3,4,2,3,2,3,2,3,2,3,2,3,3,3,2,3,2,2,2,2,2,3,1,0,1,0,3,4,1,0,1,2,없음,없음,없음,2,0,2,1,2,2,2,3,2,2,2,2,3,4,3,3,2,3,3,3,2,3,4,3,2,3,3,3,3,1,2,3,4,20.0,2,2,1,2,2,2,1,2,3,3,3,2,2,주부,3,2,53,1,없음,1,1,1,2800,902101
39,2,4,3,4,3,4,4,5,4,6,4,5,1,0,1,0,1,0,3,4,3,5,3,3,3,4,3,5,3,4,3,4,3,4,3,5,1,0,2,3,4,5,2,2,1,0,1,0,2,3,1,0,4,6,4,5,2,3,4,5,3,4,4,5,1,0,1,0,1,0,1,0,1,0,3,3,2,3,1,0,3,4,19,4,1,2,없음,없음,없음,2,0,5,1,3,4,3,4,4,3,3,3,3,3,3,2,2,2,4,3,2,3,2,2,3,3,3,2,2,1,4,1,2,60.0,2,2,2,2,2,2,2,2,2,3,2,3,2,없음,3,1,65,2,없음,2,6,0,5000,863201
